feature,feature_full,plays_mean,plays_median,rest_mean,rest_median,mean_diff,cohens_d,abs_cohens_d,u_statistic,p_value_raw,n_plays,n_rest,plays_higher,p_value_fdr,significant_fdr_005,significant_fdr_001,significant_raw_005,feature_name,consensus_weight,rank
DEFENSIVE_IMPECT_SCORE_PACKING,mean_DEFENSIVE_IMPECT_SCORE_PACKING,0.2534630155315833,0.2514411773333333,0.23113091432439445,0.23012366751666663,0.022332101207188843,0.3925931838667527,0.3925931838667527,37867.0,4.446534276603105e-06,99,594,True,0.00012005642546828385,True,True,True,DEFENSIVE_IMPECT_SCORE_PACKING,0.063762059954754,5
RATIO_PASSING_ACCURACY,mean_RATIO_PASSING_ACCURACY,0.7844096555938778,0.8009325863333334,0.761755674718907,0.7714639235338523,0.022653980874970725,0.28121333232431606,0.28121333232431606,35267.0,0.0014752796775006154,99,594,True,0.00949519070037922,True,True,True,RATIO_PASSING_ACCURACY,0.0439988543346362,7
IMPECT_SCORE_WITHOUT_GOALS_PACKING,mean_IMPECT_SCORE_WITHOUT_GOALS_PACKING,0.3528989200503067,0.3438638748913044,0.32276083212280465,0.3215921747369058,0.030138087927502055,0.38624093707468404,0.38624093707468404,35139.0,0.0018703762388047715,99,594,True,0.00949519070037922,True,True,True,IMPECT_SCORE_WITHOUT_GOALS_PACKING,0.0305120064765042,13
PASS_COMPLETION_OVER_EXPECTED,mean_PASS_COMPLETION_OVER_EXPECTED,0.01302476007437906,0.02057397453,-0.005504745783895551,0.0056289041533613,0.018529505858274613,0.2873002234241627,0.2873002234241627,35129.0,0.0019049034672748261,99,594,True,0.00949519070037922,True,True,True,PASS_COMPLETION_OVER_EXPECTED,0.0223356612208884,19
IMPECT_SCORE_WITH_POSTSHOT_XG_PACKING,mean_IMPECT_SCORE_WITH_POSTSHOT_XG_PACKING,0.3529060420838994,0.3438638748913044,0.32285231538723996,0.3215921747369058,0.030053726696659455,0.38518097501592585,0.38518097501592585,35112.0,0.0019652262572864725,99,594,True,0.00949519070037922,True,True,True,IMPECT_SCORE_WITH_POSTSHOT_XG_PACKING,0.0219083212254748,20
IMPECT_SCORE_PACKING,mean_IMPECT_SCORE_PACKING,0.3528989200503067,0.3438638748913044,0.3229852774897696,0.3218547062518768,0.029913642560537135,0.38363666491417453,0.38363666491417453,35073.0,0.002110042377862049,99,594,True,0.00949519070037922,True,True,True,IMPECT_SCORE_PACKING,0.023304067552738,18
TOTAL_TOUCHES,mean_TOTAL_TOUCHES,31.137761269292902,30.99050752777778,28.67062704921202,28.363523573200993,2.467134220080883,0.3796126791597137,0.3796126791597137,34943.5,0.0026639338725214655,99,594,True,0.010275173508297082,True,False,True,TOTAL_TOUCHES,0.0378530640136705,9
GK_SUCCESSFUL_LAUNCHES_PERCENT,mean_GK_SUCCESSFUL_LAUNCHES_PERCENT,0.4181875991203057,0.4237633394117647,0.39445258499038244,0.3980253387289562,0.023735014129923238,0.24486895268040762,0.24486895268040762,34114.0,0.010640566818189342,99,594,True,0.03591191301138903,True,False,True,GK_SUCCESSFUL_LAUNCHES_PERCENT,0.0257230272173248,16
GK_CAUGHT_HIGH_BALLS_PERCENT,mean_GK_CAUGHT_HIGH_BALLS_PERCENT,0.10291042761782644,0.0967248035897435,0.09117249823176758,0.0906023907328445,0.01173792938605886,0.3395535482169871,0.3395535482169871,33735.5,0.01882148904047894,99,594,True,0.05646446712143682,False,False,True,GK_CAUGHT_HIGH_BALLS_PERCENT,0.0468635062572118,6
LOW_PASS_SCORE,mean_LOW_PASS_SCORE,0.15332553154535597,0.150222158,0.1446247630564612,0.1426390779398496,0.008700768488894783,0.22687029116147134,0.22687029116147134,33517.0,0.025710339265527345,99,594,True,0.06607803612595245,False,False,True,LOW_PASS_SCORE,0.0262629868593321,14
DIAGONAL_PASS_SCORE,mean_DIAGONAL_PASS_SCORE,0.11493920824984255,0.1083562696094915,0.09933148034708335,0.0944007477469697,0.015607727902759203,0.26310106637549435,0.26310106637549435,33484.0,0.02692068138464729,99,594,True,0.06607803612595245,False,False,True,DIAGONAL_PASS_SCORE,0.0307620384385526,12
GK_CAUGHT_AND_PUNCHED_HIGH_BALLS_PERCENT,mean_GK_CAUGHT_AND_PUNCHED_HIGH_BALLS_PERCENT,0.13920104011329879,0.1375235132,0.13160500846907897,0.130464279475,0.0075960316442198195,0.20107108719459788,0.20107108719459788,32935.0,0.055496417001972005,99,594,True,0.12486693825443702,False,False,False,GK_CAUGHT_AND_PUNCHED_HIGH_BALLS_PERCENT,0.0128586505956288,24
GK_DEFENSIVE_TOUCHES_OUTSIDE_OWN_BOX,mean_GK_DEFENSIVE_TOUCHES_OUTSIDE_OWN_BOX,1.064345666925988,1.0,0.9599487202994431,0.9066002490660026,0.10439694662654497,0.19745444362711162,0.19745444362711162,32631.0,0.08008375203185614,99,594,True,0.16632779268154738,False,False,False,GK_DEFENSIVE_TOUCHES_OUTSIDE_OWN_BOX,0.0182616771224776,22
GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_LONG_RANGE_SHOT_RATIO,mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_LONG_RANGE_SHOT_RATIO,0.019874432122954446,0.0053343494215384,-0.003343360373439867,0.004611910339047599,0.023217792496394312,0.29509233546680974,0.29509233546680974,31888.0,0.17789740454123537,99,594,True,0.34308785161523964,False,False,False,GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_LONG_RANGE_SHOT_RATIO,0.0429637752437605,8
GK_PREVENTED_GOALS_TOTAL_SHOT_XG_PERCENT,mean_GK_PREVENTED_GOALS_TOTAL_SHOT_XG_PERCENT,0.17093430532312104,0.2071564697058823,0.20421505509766846,0.23446860940549313,-0.033280749774547425,-0.11172869666312894,0.11172869666312894,27732.5,0.3651695090743181,99,594,False,0.6573051163337725,False,False,False,GK_PREVENTED_GOALS_TOTAL_SHOT_XG_PERCENT,0.0145848375655808,23
GK_PREVENTED_GOALS_TOTAL_SHOT_XG,mean_GK_PREVENTED_GOALS_TOTAL_SHOT_XG,-0.04946717400791456,0.0410228076857142,-0.023293204573149536,0.0426080175272036,-0.026173969434765024,-0.05563586111667456,0.05563586111667456,27957.0,0.4331438014161544,99,594,False,0.7309301648897606,False,False,False,GK_PREVENTED_GOALS_TOTAL_SHOT_XG,0.0056004702578164,29
PROGRESSION_SCORE_PACKING,mean_PROGRESSION_SCORE_PACKING,0.10639570197681299,0.0992909253235294,0.09898445511634976,0.09732404145160256,0.007411246860463225,0.16809881152041428,0.16809881152041428,30683.0,0.48780156780499107,99,594,True,0.7747436665138093,False,False,False,PROGRESSION_SCORE_PACKING,0.0104640605470022,27
GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_HEADER_SHOT_RATIO,mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_HEADER_SHOT_RATIO,0.019358073875283422,0.0164191973826086,0.023471207665445904,0.02006065910128005,-0.004113133790162482,-0.04771783274862995,0.04771783274862995,28300.0,0.5499309673050166,99,594,False,0.8089962823332328,False,False,False,GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_HEADER_SHOT_RATIO,0.005518668062919,30
OFFENSIVE_IMPECT_SCORE_PACKING,mean_OFFENSIVE_IMPECT_SCORE_PACKING,0.09943590269277347,0.0895650569357142,0.09185436303748942,0.0903514755,0.0075815396552840475,0.17530116501701115,0.17530116501701115,30453.0,0.5692936801604231,99,594,True,0.8089962823332328,False,False,False,OFFENSIVE_IMPECT_SCORE_PACKING,0.0260712551532049,15
GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION1V1_AGAINST_GK_SHOT_RATIO,mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION1V1_AGAINST_GK_SHOT_RATIO,0.02120414589403962,0.015641059347826,0.017889223344829244,0.01251983212882165,0.0033149225492103765,0.04156958515269864,0.04156958515269864,30280.0,0.6345053740369856,99,594,True,0.8396363968599319,False,False,False,GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION1V1_AGAINST_GK_SHOT_RATIO,0.020568705500053,21
GOAL_KICK_SCORE,mean_GOAL_KICK_SCORE,0.1809215291978109,0.1793592347368421,0.17772348290036546,0.1796903859615385,0.0031980462974454393,0.11348492949328562,0.11348492949328562,30232.5,0.6530505308910581,99,594,True,0.8396363968599319,False,False,False,GOAL_KICK_SCORE,0.0311474615802804,10
GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_MID_RANGE_SHOT_RATIO,mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_MID_RANGE_SHOT_RATIO,0.07781743781438978,0.076929714773913,0.07578983606384612,0.07362083358862875,0.002027601750543659,0.015194755212175068,0.015194755212175068,29894.5,0.7900472080618313,99,594,True,0.8910150226308444,False,False,False,GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_MID_RANGE_SHOT_RATIO,0.0112025881359809,26
FOOT_USAGE_RATIO_LEFT,mean_FOOT_USAGE_RATIO_LEFT,0.18081557494234277,0.1492717642,0.22944305199789847,0.1492717642,-0.0486274770555557,-0.2165783506405269,0.2165783506405269,29885.0,0.7920133534496394,99,594,False,0.8910150226308444,False,False,False,FOOT_USAGE_RATIO_LEFT,0.0823094583275512,2
FOOT_USAGE_RATIO_RIGHT,mean_FOOT_USAGE_RATIO_RIGHT,0.8191844310575619,0.850728243,0.7705569526086681,0.850728243,0.04862747844889381,0.21657835715850957,0.21657835715850957,28921.0,0.7920133534496394,99,594,True,0.8910150226308444,False,False,False,FOOT_USAGE_RATIO_RIGHT,0.0732907385165172,4
GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_CLOSE_RANGE_SHOT_RATIO,mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_CLOSE_RANGE_SHOT_RATIO,0.030475393077375304,0.0031914487179487,0.01599085768471063,0.0137486724575757,0.014484535392664675,0.1783652086380552,0.1783652086380552,29075.0,0.8590281808897147,99,594,True,0.901820421973646,False,False,False,GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_CLOSE_RANGE_SHOT_RATIO,0.0237140586397484,17
GK_PREVENTED_GOALS_TOTAL_POSTSHOT_XG,mean_GK_PREVENTED_GOALS_TOTAL_POSTSHOT_XG,-0.00753854119671541,0.0416581085714285,-0.017010788949268565,0.06027240007629865,0.009472247752553155,0.02288784070515712,0.02288784070515712,29668.5,0.8857401979312078,99,594,True,0.901820421973646,False,False,False,GK_PREVENTED_GOALS_TOTAL_POSTSHOT_XG,0.0093712795910658,28
GK_PREVENTED_GOALS_TOTAL_POSTSHOT_XG_PERCENT,mean_GK_PREVENTED_GOALS_TOTAL_POSTSHOT_XG_PERCENT,0.1413207230292641,0.1690420612857142,0.13751428648541766,0.170668306799435,0.0038064365438464365,0.014570216318408926,0.014570216318408926,29631.0,0.901820421973646,99,594,True,0.901820421973646,False,False,False,GK_PREVENTED_GOALS_TOTAL_POSTSHOT_XG_PERCENT,0.0122116162960802,25
